"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-21&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-21~ref_cpp-d121317a.5-62-AEO2018.3-21~co2fee15-d022318a.5-62-AEO2018.3-21~co2fee25-d022318a.5-62-AEO2018.3-21&map=&sourcekey=1"
"Fri Sep 28 2018 10:41:54 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $25 carbon allowance fee,62-AEO2018.7.co2fee25-d022318a,"GW",9.051201,9.051201,9.051201,9.051201,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.3008,8.1288,8.1288,7.2578,6.547801,6.547801,6.547801,6.2719,6.2719,6.2719,6.2719,6.2719,5.634501,5.634501,5.634501,5.634501,5.634501,5.634501,5.634501,5.634501,5.634501,"-1.4%"
Combustion Turbine/Diesel,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel",62-AEO2018.8.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": Reference case,62-AEO2018.8.ref2018-d121317a,"GW",2.8037,2.6037,2.6037,2.9925,2.9784,2.9784,3.086851,3.086851,3.074851,3.070051,3.058851,3.058851,3.058851,3.058851,3.058851,3.058851,2.862951,2.862951,2.862951,2.824851,2.824851,2.824851,2.824851,2.824851,2.824851,2.824851,2.824851,2.824851,2.824851,2.824851,2.824851,2.824851,2.824851,2.824851,2.824851,"0.2%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": Reference case with Clean Power Plan,62-AEO2018.8.ref_cpp-d121317a,"GW",2.8037,2.6037,2.6037,2.9925,2.9784,2.9784,2.9784,2.9527,2.9479,2.9479,2.9479,2.9479,2.9479,2.9367,2.9367,2.9367,2.9247,2.8609,2.8249,2.8109,2.7728,2.7703,2.7703,2.7703,2.7703,2.7703,2.7703,2.7703,2.7703,2.7703,2.7703,2.7703,2.7703,2.7703,2.7703,"0.2%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": $15 carbon allowance fee,62-AEO2018.8.co2fee15-d022318a,"GW",2.8037,2.6037,2.6037,2.9925,2.9784,2.9784,2.9784,2.9664,2.9616,2.9504,2.9384,2.9247,2.9247,2.9247,2.9247,2.9247,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,2.7262,"0.1%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": $25 carbon allowance fee,62-AEO2018.8.co2fee25-d022318a,"GW",2.8037,2.6037,2.6037,2.9925,2.9784,2.9784,2.9664,2.9616,2.9504,2.9342,2.9149,2.9149,2.9149,2.9149,2.9149,2.9149,2.9149,2.8609,2.8609,2.8609,2.8609,2.8609,2.8609,2.8609,2.8609,2.8609,2.8609,2.8609,2.8609,2.8609,2.8609,2.8609,2.8609,2.8609,2.972367,"0.4%"
Nuclear Power,"Electricity: Electric Power Sector: Capacity: Nuclear",62-AEO2018.9.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Nuclear": Reference case,62-AEO2018.9.ref2018-d121317a,"GW",1.16,1.16,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Nuclear": Reference case with Clean Power Plan,62-AEO2018.9.ref_cpp-d121317a,"GW",1.16,1.16,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Nuclear": $15 carbon allowance fee,62-AEO2018.9.co2fee15-d022318a,"GW",1.16,1.16,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,0.9794,0.778819,0.778819,0.778819,0.778819,0.778819,0.778819,0.778819,"-1.2%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Nuclear": $25 carbon allowance fee,62-AEO2018.9.co2fee25-d022318a,"GW",1.16,1.16,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.18,0.9794,0.778819,0.778819,0.778819,0.778819,0.778819,0.778819,0.778819,"-1.2%"
Pumped Storage,"Electricity: Electric Power Sector: Capacity: Pumped Storage",62-AEO2018.10.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Pumped Storage": Reference case,62-AEO2018.10.ref2018-d121317a,"GW",0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,"0.0%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Pumped Storage": Reference case with Clean Power Plan,62-AEO2018.10.ref_cpp-d121317a,"GW",0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,"0.0%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Pumped Storage": $15 carbon allowance fee,62-AEO2018.10.co2fee15-d022318a,"GW",0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,"0.0%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Pumped Storage": $25 carbon allowance fee,62-AEO2018.10.co2fee25-d022318a,"GW",0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,"0.0%"
Diurnal Storage,"Electricity: Electric Power Sector: Capacity: Diurnal Storage",62-AEO2018.11.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": Reference case,62-AEO2018.11.ref2018-d121317a,"GW",0.0102,0.0126,0.2626,0.5126,0.7626,1.0126,1.2626,1.5126,1.7626,2.0126,2.2626,2.5126,2.7626,3.0126,3.2626,3.5126,3.5126,3.7626,4.0126,4.2626,4.2626,4.2626,4.2626,4.2626,4.2626,4.2626,4.2626,4.2626,4.2626,4.2626,4.2626,4.2626,4.2626,4.2626,4.2626,"19.3%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": Reference case with Clean Power Plan,62-AEO2018.11.ref_cpp-d121317a,"GW",0.0102,0.0126,0.2626,0.5126,0.7626,1.0126,1.2626,1.5126,1.7626,2.0126,2.2626,2.5126,2.7626,3.0126,3.2626,3.5126,3.5126,3.5126,3.7626,3.7626,4.0126,4.0126,4.0126,4.0126,4.2626,4.5126,4.5126,4.5126,4.5126,4.5126,4.5126,4.5126,4.5126,4.5126,4.5126,"19.5%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": $15 carbon allowance fee,62-AEO2018.11.co2fee15-d022318a,"GW",0.0102,0.0126,0.2626,0.5126,0.7626,1.0126,1.2626,1.5126,1.7626,2.0126,2.2626,2.5126,2.7626,3.0126,3.2626,3.5126,3.7626,4.0126,4.2626,4.2626,4.2626,4.2626,4.2626,4.5126,4.5126,4.7626,5.0126,5.0126,5.0126,5.0126,5.0126,5.0126,5.0126,5.0126,5.0126,"19.9%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": $25 carbon allowance fee,62-AEO2018.11.co2fee25-d022318a,"GW",0.0102,0.0126,0.2626,0.5126,0.7626,1.0126,1.2626,1.5126,1.7626,2.0126,2.2626,2.5126,2.7626,3.0126,3.2626,3.5126,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,3.7626,"18.9%"
Fuel Cells,"Electricity: Electric Power Sector: Capacity: Fuel Cells",62-AEO2018.12.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Fuel Cells": Reference case,62-AEO2018.12.ref2018-d121317a,"GW",0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,"0.0%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Fuel Cells": Reference case with Clean Power Plan,62-AEO2018.12.ref_cpp-d121317a,"GW",0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,"0.0%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Fuel Cells": $15 carbon allowance fee,62-AEO2018.12.co2fee15-d022318a,"GW",0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,"0.0%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Fuel Cells": $25 carbon allowance fee,62-AEO2018.12.co2fee25-d022318a,"GW",0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,0.0098,"0.0%"
Renewable Sources,"Electricity: Electric Power Sector: Capacity: Renewable Sources",62-AEO2018.13.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Renewable Sources": Reference case,62-AEO2018.13.ref2018-d121317a,"GW",46.236469,46.817265,47.63237,48.114571,52.989601,53.0396,53.0896,53.138206,53.188206,53.232204,53.257206,53.269203,53.355206,53.441204,53.527206,53.601204,53.613205,53.625206,53.637203,53.644203,53.644203,53.644203,53.644203,53.644203,53.644203,53.644203,54.823456,56.711792,56.829166,59.172909,61.893723,62.692856,62.692856,62.692856,62.692856,"0.9%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Renewable Sources": Reference case with Clean Power Plan,62-AEO2018.13.ref_cpp-d121317a,"GW",46.236469,46.817265,47.63237,48.114571,53.855217,54.649029,54.699028,54.747635,54.797634,54.841633,54.866634,54.878632,54.890633,54.902634,54.988632,55.074635,55.086632,55.098633,55.110634,55.117634,55.117634,55.117634,55.117634,55.117634,55.117634,55.117634,55.117634,55.117634,58.13929,58.13929,58.13929,58.676964,59.239819,60.209202,60.533607,"0.8%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Renewable Sources": $15 carbon allowance fee,62-AEO2018.13.co2fee15-d022318a,"GW",46.236469,46.817265,47.63237,48.114571,55.349369,61.800316,61.875313,61.948914,62.023918,62.080917,62.080917,62.104919,62.128914,69.241081,69.265076,70.768684,70.786682,70.798683,70.810684,70.81768,70.81768,70.81768,70.81768,71.062271,73.154747,74.837799,74.837799,76.439629,77.260086,77.344376,78.118225,78.410965,78.478889,78.616196,78.616196,"1.6%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Renewable Sources": $25 carbon allowance fee,62-AEO2018.13.co2fee25-d022318a,"GW",46.236469,46.817265,47.63237,48.114571,55.297459,61.803844,61.878845,61.952446,62.027447,62.084446,62.52755,62.551552,62.57555,62.599552,74.635567,74.659569,76.376091,76.388092,76.400093,76.407097,76.407097,76.407097,76.407097,76.407097,77.513954,77.925079,78.648514,78.648514,79.179848,79.633583,79.633583,79.633583,79.633583,79.633583,80.400131,"1.7%"
Distributed Generation,"Electricity: Electric Power Sector: Capacity: Distributed Generation",62-AEO2018.14.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Distributed Generation": Reference case,62-AEO2018.14.ref2018-d121317a,"GW",0,0,0,0,0,0.006749,0.012012,0.022096,0.026721,0.035811,0.047081,0.061784,0.077978,0.093894,0.102448,0.118517,0.118517,0.118517,0.118517,0.118517,0.118517,0.118517,0.118517,0.118517,0.131554,0.145413,0.158481,0.172565,0.187347,0.202514,0.243738,0.285985,0.325721,0.366752,0.409121,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Distributed Generation": Reference case with Clean Power Plan,62-AEO2018.14.ref_cpp-d121317a,"GW",0,0,0,0,0,0.00596,0.009492,0.012126,0.015357,0.016878,0.023753,0.034035,0.047283,0.060482,0.066336,0.076618,0.076618,0.076618,0.076618,0.076618,0.076618,0.076618,0.088083,0.099874,0.111408,0.123732,0.135168,0.147746,0.16094,0.174504,0.189033,0.229815,0.269351,0.310732,0.35395,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Distributed Generation": $15 carbon allowance fee,62-AEO2018.14.co2fee15-d022318a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Distributed Generation": $25 carbon allowance fee,62-AEO2018.14.co2fee25-d022318a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Total Capacity,"Electricity: Electric Power Sector: Capacity: Total Capacity",62-AEO2018.15.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Total Capacity": Reference case,62-AEO2018.15.ref2018-d121317a,"GW",72.026772,72.409973,73.38208,74.503075,78.407608,77.346359,76.892059,77.20076,77.493378,77.523666,77.128738,77.405441,77.757637,78.10955,78.454109,78.794174,76.797272,76.377274,75.459274,75.678177,75.678177,75.678177,75.678177,75.049179,75.06221,75.07608,76.268387,78.170807,78.302963,80.66188,83.423904,84.265289,84.305023,84.346054,84.388428,"0.5%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Total Capacity": Reference case with Clean Power Plan,62-AEO2018.15.ref_cpp-d121317a,"GW",72.026772,72.409973,73.38208,74.503075,79.410217,79.09198,78.527527,78.803062,79.101494,79.129013,78.740891,79.013168,79.288414,79.552422,79.894272,80.240555,78.952553,77.258751,77.152756,77.145752,77.357651,77.355148,77.366623,77.378418,77.639938,77.902267,77.913712,77.926285,80.32373,80.337296,80.351822,80.930283,81.532669,82.543442,82.911057,"0.4%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Total Capacity": $15 carbon allowance fee,62-AEO2018.15.co2fee15-d022318a,"GW",72.026772,72.409973,73.38208,74.503075,80.767372,86.100311,85.557312,85.868919,85.44912,85.476913,85.044922,85.305222,85.579216,92.60939,92.553383,93.835991,88.750084,88.020081,86.998764,86.258759,85.91008,85.91008,85.91008,86.404678,88.497147,90.430206,90.680206,92.081436,92.701309,92.777191,93.551041,93.843781,93.911713,94.049011,94.049011,"0.8%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Total Capacity": $25 carbon allowance fee,62-AEO2018.15.co2fee25-d022318a,"GW",72.026772,72.409973,73.38208,74.503075,80.750465,85.771851,85.216843,84.795654,85.109451,85.132248,85.136047,85.410049,85.684052,85.958054,98.244072,96.913071,98.239594,92.348198,91.127197,91.134201,91.134201,90.858299,90.858299,90.858299,91.965157,92.376282,92.462318,92.261719,92.592468,93.046204,93.046204,93.046204,93.046204,93.046204,93.924225,"0.8%"
Cumulative Planned Additions,,62-AEO2018.17.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal",62-AEO2018.18.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": Reference case,62-AEO2018.18.ref2018-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": Reference case with Clean Power Plan,62-AEO2018.18.ref_cpp-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": $15 carbon allowance fee,62-AEO2018.18.co2fee15-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": $25 carbon allowance fee,62-AEO2018.18.co2fee25-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Oil and Natural Gas Steam,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam",62-AEO2018.19.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam": Reference case,62-AEO2018.19.ref2018-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.19.ref_cpp-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.19.co2fee15-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
