"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-5&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-5~ref_cpp-d121317a.5-62-AEO2018.3-5~co2fee15-d022318a.5-62-AEO2018.3-5~co2fee25-d022318a.5-62-AEO2018.3-5&map=&sourcekey=1"
"Fri Sep 28 2018 10:32:54 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $15 carbon allowance fee,62-AEO2018.7.co2fee15-d022318a,"GW",12.247104,12.977103,13.722103,13.722103,13.367704,13.089104,12.4603,12.113153,12.113153,12.113153,12.113153,12.113153,12.113153,12.113153,12.924559,13.103805,13.103805,13.103805,13.16586,13.16586,13.078308,13.078308,12.874308,12.874308,12.847307,12.847307,12.847307,12.847307,12.847307,12.950572,12.950572,13.003423,13.003423,13.003423,12.681422,"-0.1%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $25 carbon allowance fee,62-AEO2018.7.co2fee25-d022318a,"GW",12.247104,12.977103,13.722103,13.722103,13.367704,13.089104,12.396733,11.7946,11.7946,11.7946,11.7946,11.7946,11.7946,11.7946,11.858466,11.858466,11.858466,11.962197,11.962197,11.962197,11.962197,12.104544,12.104544,12.104544,12.204474,12.041675,12.041675,11.644675,11.644675,11.644675,11.390676,11.159675,11.039575,11.039575,11.039575,"-0.5%"
Combustion Turbine/Diesel,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel",62-AEO2018.8.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": Reference case,62-AEO2018.8.ref2018-d121317a,"GW",2.755803,2.755803,3.040603,3.370603,3.367602,3.360302,3.360302,3.360302,3.360302,3.360302,3.360302,3.360302,3.352602,3.352602,3.352602,3.352602,3.352602,3.38249,3.435263,3.485105,3.598006,3.598006,3.811724,3.953946,3.993629,4.032562,4.280686,4.455857,5.077781,5.409004,5.627938,5.951592,6.090048,6.197097,6.197097,"2.5%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": Reference case with Clean Power Plan,62-AEO2018.8.ref_cpp-d121317a,"GW",2.755803,2.755803,3.040603,3.370603,3.363303,3.360302,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.362064,3.534665,4.121367,4.121367,4.121367,4.121367,"1.2%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": $15 carbon allowance fee,62-AEO2018.8.co2fee15-d022318a,"GW",2.755803,2.755803,3.040603,3.370603,3.363303,3.360302,3.360302,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.416146,3.73329,3.844069,3.894532,4.020825,4.020825,4.020825,4.020825,4.319805,5.10485,5.10485,5.204222,6.425811,6.57582,6.584522,6.969729,7.114666,7.240188,7.366691,7.366691,7.366691,"3.0%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": $25 carbon allowance fee,62-AEO2018.8.co2fee25-d022318a,"GW",2.755803,2.755803,3.040603,3.370603,3.367602,3.360302,3.360302,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.352602,3.479989,4.16686,4.16686,4.448692,4.448692,4.448692,4.448692,4.816668,6.03777,6.231989,6.388525,6.754382,6.754382,6.913562,6.913562,6.991556,6.991556,7.138404,7.138404,7.138404,7.120004,"2.9%"
Nuclear Power,"Electricity: Electric Power Sector: Capacity: Nuclear",62-AEO2018.9.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Nuclear": Reference case,62-AEO2018.9.ref2018-d121317a,"GW",4.0159,4.0159,4.0159,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,2.774029,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,"-1.8%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Nuclear": Reference case with Clean Power Plan,62-AEO2018.9.ref_cpp-d121317a,"GW",4.0159,4.0159,4.0159,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,2.774029,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,"-1.8%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Nuclear": $15 carbon allowance fee,62-AEO2018.9.co2fee15-d022318a,"GW",4.0159,4.0159,4.0159,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,2.774029,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,2.206532,"-1.8%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Nuclear": $25 carbon allowance fee,62-AEO2018.9.co2fee25-d022318a,"GW",4.0159,4.0159,4.0159,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,3.3387,2.774029,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.149531,2.206532,2.206532,2.206532,2.206532,2.206532,2.439459,2.439459,2.439459,2.439459,2.439459,2.698113,"-1.2%"
Pumped Storage,"Electricity: Electric Power Sector: Capacity: Pumped Storage",62-AEO2018.10.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Pumped Storage": Reference case,62-AEO2018.10.ref2018-d121317a,"GW",1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,"0.0%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Pumped Storage": Reference case with Clean Power Plan,62-AEO2018.10.ref_cpp-d121317a,"GW",1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,"0.0%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Pumped Storage": $15 carbon allowance fee,62-AEO2018.10.co2fee15-d022318a,"GW",1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,"0.0%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Pumped Storage": $25 carbon allowance fee,62-AEO2018.10.co2fee25-d022318a,"GW",1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,1.7974,"0.0%"
Diurnal Storage,"Electricity: Electric Power Sector: Capacity: Diurnal Storage",62-AEO2018.11.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": Reference case,62-AEO2018.11.ref2018-d121317a,"GW",0.019,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.026963,0.026963,0.026963,0.026963,0.026963,0.026963,0.026963,0.026963,0.026963,0.026963,0.026963,0.026963,0.026963,0.026963,0.026963,0.026963,0.026963,"0.5%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": Reference case with Clean Power Plan,62-AEO2018.11.ref_cpp-d121317a,"GW",0.019,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.2728,0.2728,0.2728,0.2728,0.2728,0.2728,0.2728,0.2728,0.2728,0.2728,0.2728,0.2728,0.2728,"7.8%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": $15 carbon allowance fee,62-AEO2018.11.co2fee15-d022318a,"GW",0.019,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.2728,0.5228,0.7728,1.0228,1.2728,"13.0%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": $25 carbon allowance fee,62-AEO2018.11.co2fee25-d022318a,"GW",0.019,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.0228,0.2728,0.5228,0.7728,1.0228,1.2728,1.5228,1.7728,2.0228,2.2728,2.5228,"15.3%"
Fuel Cells,"Electricity: Electric Power Sector: Capacity: Fuel Cells",62-AEO2018.12.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Fuel Cells": Reference case,62-AEO2018.12.ref2018-d121317a,"GW",0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,"0.0%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Fuel Cells": Reference case with Clean Power Plan,62-AEO2018.12.ref_cpp-d121317a,"GW",0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,"0.0%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Fuel Cells": $15 carbon allowance fee,62-AEO2018.12.co2fee15-d022318a,"GW",0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,"0.0%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Fuel Cells": $25 carbon allowance fee,62-AEO2018.12.co2fee25-d022318a,"GW",0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,"0.0%"
Renewable Sources,"Electricity: Electric Power Sector: Capacity: Renewable Sources",62-AEO2018.13.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Renewable Sources": Reference case,62-AEO2018.13.ref2018-d121317a,"GW",5.037551,5.209451,5.239351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281352,5.281352,5.281352,5.281352,5.281352,5.281352,5.281352,5.281352,5.281352,5.31004,5.31004,5.31004,5.31004,5.31004,5.31004,5.324915,5.324914,5.324916,5.324916,5.386013,5.419926,5.447928,5.447926,"0.1%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Renewable Sources": Reference case with Clean Power Plan,62-AEO2018.13.ref_cpp-d121317a,"GW",5.037551,5.209451,5.239351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281352,5.281352,5.281352,5.281352,5.281352,5.281352,5.281351,5.281352,5.281352,5.281352,5.281352,5.281352,5.281352,5.281352,5.281352,5.281351,5.281351,5.281349,5.281351,5.276351,5.276351,5.276349,5.276351,"0.0%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Renewable Sources": $15 carbon allowance fee,62-AEO2018.13.co2fee15-d022318a,"GW",5.037551,5.209451,5.239351,5.281351,5.28135,5.28135,5.281351,5.28135,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.410686,5.441332,5.469332,5.469332,5.469332,5.469332,5.469332,6.555508,6.581098,6.596088,6.596088,6.596088,7.572886,7.575986,7.841348,7.861348,7.934566,7.98907,7.98988,7.9906,"1.3%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Renewable Sources": $25 carbon allowance fee,62-AEO2018.13.co2fee25-d022318a,"GW",5.037551,5.209451,5.239351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.281351,5.309351,5.369355,5.369355,5.369355,5.539926,7.476603,7.481312,7.481313,7.481313,8.458112,8.458112,8.759096,8.759096,8.759096,8.774095,8.774095,8.814196,8.814196,8.877325,8.878405,8.880423,8.891451,"1.6%"
Distributed Generation,"Electricity: Electric Power Sector: Capacity: Distributed Generation",62-AEO2018.14.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Distributed Generation": Reference case,62-AEO2018.14.ref2018-d121317a,"GW",0,0,0,0,0,0,0,0,0.001766,0.001766,0.003612,0.005526,0.007977,0.010318,0.011857,0.016605,0.023902,0.030681,0.039211,0.046595,0.055028,0.062521,0.073538,0.085571,0.094768,0.126809,0.158718,0.197119,0.232024,0.276799,0.318125,0.369292,0.418332,0.460377,0.493923,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Distributed Generation": Reference case with Clean Power Plan,62-AEO2018.14.ref_cpp-d121317a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0.001039,0.001494,0.00181,0.003815,0.004674,0.008242,0.011257,0.016359,0.022199,0.028297,0.037791,0.045789,0.054468,0.062289,0.071398,0.078207,0.099446,0.123106,0.157125,0.192934,0.224965,0.26001,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Distributed Generation": $15 carbon allowance fee,62-AEO2018.14.co2fee15-d022318a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Distributed Generation": $25 carbon allowance fee,62-AEO2018.14.co2fee25-d022318a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Total Capacity,"Electricity: Electric Power Sector: Capacity: Total Capacity",62-AEO2018.15.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Total Capacity": Reference case,62-AEO2018.15.ref2018-d121317a,"GW",33.017857,32.450558,33.510258,33.205059,32.798656,32.215855,31.523655,31.193155,31.194921,31.194921,31.196768,31.198681,31.193432,31.187328,30.624197,30.040794,30.088062,30.257357,30.493017,30.550243,30.612354,30.689932,30.634706,30.788965,30.894846,31.055311,31.389738,31.618183,32.096478,32.108498,32.449547,32.938839,33.24279,33.482414,33.515957,"0.1%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Total Capacity": Reference case with Clean Power Plan,62-AEO2018.15.ref_cpp-d121317a,"GW",33.017857,32.450558,33.510258,33.205055,32.794357,32.215855,31.420404,30.453606,30.053606,29.926472,29.926472,29.926472,29.926472,29.927511,29.363295,28.739115,28.741119,28.741978,28.756239,28.759537,28.764639,28.592737,28.766216,29.162928,29.227924,29.236605,29.382605,29.626484,29.633293,29.788708,30.055468,30.270987,30.589319,30.616976,30.65202,"-0.2%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Total Capacity": $15 carbon allowance fee,62-AEO2018.15.co2fee15-d022318a,"GW",33.017857,32.450558,33.510258,33.205059,32.794357,32.512756,31.788553,30.797405,30.066906,30.066906,30.066906,30.066906,29.256004,29.256004,29.566284,29.567509,29.708935,29.787399,29.97575,29.97575,29.888199,29.888199,31.069353,31.309189,31.354177,31.45355,32.274937,32.953846,32.965645,33.719479,33.164417,33.666008,34.097015,34.347828,34.276546,"0.2%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Total Capacity": $25 carbon allowance fee,62-AEO2018.15.co2fee25-d022318a,"GW",33.017857,32.450558,33.510258,33.205055,32.798656,32.512756,31.724985,30.831852,30.101353,29.748352,29.748352,29.748352,28.937452,28.965452,28.652039,28.714411,28.714411,28.699749,30.636425,30.641134,30.257736,30.768059,31.59576,31.789978,31.956528,32.409584,32.659584,32.686764,32.936764,32.984783,32.980785,33.209763,33.34074,33.592758,34.09404,"0.1%"
Cumulative Planned Additions,,62-AEO2018.17.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal",62-AEO2018.18.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": Reference case,62-AEO2018.18.ref2018-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": Reference case with Clean Power Plan,62-AEO2018.18.ref_cpp-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": $15 carbon allowance fee,62-AEO2018.18.co2fee15-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": $25 carbon allowance fee,62-AEO2018.18.co2fee25-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Oil and Natural Gas Steam,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam",62-AEO2018.19.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam": Reference case,62-AEO2018.19.ref2018-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
