"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-12&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-12~ref_cpp-d121317a.5-62-AEO2018.3-12~co2fee15-d022318a.5-62-AEO2018.3-12~co2fee25-d022318a.5-62-AEO2018.3-12&map=&sourcekey=1"
"Fri Sep 28 2018 10:38:52 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combined Cycle": $25 carbon allowance fee,62-AEO2018.7.co2fee25-d022318a,"GW",9.772951,9.772951,10.825051,12.384051,12.269551,12.172251,12.297602,12.441587,12.441587,12.441587,12.441587,14.699376,16.008726,15.827994,15.827994,15.827994,16.38821,16.38821,16.769278,16.924007,17.991123,18.890774,20.145115,21.673916,22.781332,23.518181,24.170441,24.448929,24.764328,24.764328,24.764328,24.766354,25.075607,25.391281,25.391281,"2.9%"
Combustion Turbine/Diesel,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel",62-AEO2018.8.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": Reference case,62-AEO2018.8.ref2018-d121317a,"GW",2.3824,2.3824,2.3824,2.3824,2.3389,2.3389,2.3389,2.3389,2.3389,2.3389,2.3389,2.3389,2.375027,2.375027,2.375027,2.375027,2.375027,2.375027,2.375027,2.375027,2.495079,2.495079,2.484079,2.484079,2.484079,2.88469,2.88469,3.165646,3.4378,4.002446,4.499229,4.962313,5.225027,5.68367,6.23713,"3.0%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": Reference case with Clean Power Plan,62-AEO2018.8.ref_cpp-d121317a,"GW",2.3824,2.3824,2.3824,2.3824,2.3389,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,3.437884,3.965685,4.477393,4.486463,4.486463,4.486463,4.516893,4.865774,4.865774,"2.2%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": $15 carbon allowance fee,62-AEO2018.8.co2fee15-d022318a,"GW",2.3824,2.3824,2.3824,2.3824,2.3407,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,2.3149,3.082914,5.494057,5.494057,5.494057,6.193031,6.575292,6.575292,6.624574,"3.1%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": $25 carbon allowance fee,62-AEO2018.8.co2fee25-d022318a,"GW",2.3824,2.3824,2.3824,2.3824,2.3389,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.3279,2.1509,2.0219,2.110828,2.218719,2.442907,"0.1%"
Nuclear Power,"Electricity: Electric Power Sector: Capacity: Nuclear",62-AEO2018.9.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Nuclear": Reference case,62-AEO2018.9.ref2018-d121317a,"GW",5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,3.9507,3.9507,4.0497,4.0497,4.0497,4.0497,4.0497,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,4.1527,"-0.6%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Nuclear": Reference case with Clean Power Plan,62-AEO2018.9.ref_cpp-d121317a,"GW",5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.2397,5.2397,5.2397,5.2397,5.2397,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,"0.1%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Nuclear": $15 carbon allowance fee,62-AEO2018.9.co2fee15-d022318a,"GW",5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.2397,5.2397,5.2397,5.2397,5.2397,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,"0.1%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Nuclear": $25 carbon allowance fee,62-AEO2018.9.co2fee25-d022318a,"GW",5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.1407,5.2397,5.2397,5.2397,5.2397,5.2397,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,5.3427,"0.1%"
Pumped Storage,"Electricity: Electric Power Sector: Capacity: Pumped Storage",62-AEO2018.10.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Pumped Storage": Reference case,62-AEO2018.10.ref2018-d121317a,"GW",0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,"0.0%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Pumped Storage": Reference case with Clean Power Plan,62-AEO2018.10.ref_cpp-d121317a,"GW",0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,"0.0%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Pumped Storage": $15 carbon allowance fee,62-AEO2018.10.co2fee15-d022318a,"GW",0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,"0.0%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Pumped Storage": $25 carbon allowance fee,62-AEO2018.10.co2fee25-d022318a,"GW",0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,"0.0%"
Diurnal Storage,"Electricity: Electric Power Sector: Capacity: Diurnal Storage",62-AEO2018.11.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": Reference case,62-AEO2018.11.ref2018-d121317a,"GW",0,0,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2,2,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,2.010252,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": Reference case with Clean Power Plan,62-AEO2018.11.ref_cpp-d121317a,"GW",0,0,0,0.25,0.5,0.75,1,1.25,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": $15 carbon allowance fee,62-AEO2018.11.co2fee15-d022318a,"GW",0,0,0,0.25,0.5,0.75,1,1,1,1,1,1,1,1,1,1,1.25,1.5,1.75,1.75,1.75,1.75,1.75,1.75,2,2,2,2.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": $25 carbon allowance fee,62-AEO2018.11.co2fee25-d022318a,"GW",0,0,0,0.25,0.5,0.75,0.75,0.75,0.75,0.75,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.5,2.75,2.75,2.75,2.75,2.75,2.75,3,3.25,3.5,3.75,4,4,4,4.25,4.5,4.75,"- -"
Fuel Cells,"Electricity: Electric Power Sector: Capacity: Fuel Cells",62-AEO2018.12.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Fuel Cells": Reference case,62-AEO2018.12.ref2018-d121317a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Fuel Cells": Reference case with Clean Power Plan,62-AEO2018.12.ref_cpp-d121317a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Fuel Cells": $15 carbon allowance fee,62-AEO2018.12.co2fee15-d022318a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Fuel Cells": $25 carbon allowance fee,62-AEO2018.12.co2fee25-d022318a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Renewable Sources,"Electricity: Electric Power Sector: Capacity: Renewable Sources",62-AEO2018.13.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Renewable Sources": Reference case,62-AEO2018.13.ref2018-d121317a,"GW",0.6983,0.7793,0.8584,1.592001,1.592001,1.800555,1.800555,1.800555,1.876947,1.876947,1.952019,1.952019,1.996158,2.016548,2.016548,2.016548,2.325611,3.985474,5.233848,6.185346,6.807641,6.807641,6.836403,6.893063,6.921089,6.996335,6.996335,7.013238,7.013238,7.013238,7.013238,7.034991,7.055582,7.077352,7.077352,"6.9%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Renewable Sources": Reference case with Clean Power Plan,62-AEO2018.13.ref_cpp-d121317a,"GW",0.6983,0.7793,0.8584,1.108823,1.108823,1.670231,2.337435,2.337435,2.337435,2.337435,2.337435,2.337435,2.337435,2.337435,2.337435,4.826612,5.566899,6.394037,7.151446,8.633143,8.633143,10.763378,10.763378,10.763378,10.763378,10.763378,10.763378,10.763378,10.763378,10.763378,10.763378,10.763378,10.763378,10.794998,10.794998,"8.3%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Renewable Sources": $15 carbon allowance fee,62-AEO2018.13.co2fee15-d022318a,"GW",0.6983,0.7793,0.8584,0.9584,0.9584,0.9584,1.734185,1.734185,3.548114,4.759457,5.737197,5.799888,5.871584,5.944698,5.944698,6.684389,6.684389,6.684389,8.325713,10.376063,12.522313,14.599062,15.670588,16.903027,18.030523,18.88546,18.92061,19.409786,19.409786,19.584246,19.934519,20.931805,21.22788,21.324387,21.409515,"10.6%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Renewable Sources": $25 carbon allowance fee,62-AEO2018.13.co2fee25-d022318a,"GW",0.6983,0.7793,0.8584,0.9584,0.9584,0.9844,0.9844,0.9844,3.386096,6.404317,10.76498,13.191226,13.267994,13.535538,14.150341,15.703396,17.774773,17.774773,17.774773,18.347866,18.347866,18.347866,18.347866,19.278368,20.396009,21.804935,22.693298,22.693298,22.78944,22.78944,22.78944,22.78944,22.956051,22.993301,22.993301,"10.8%"
Distributed Generation,"Electricity: Electric Power Sector: Capacity: Distributed Generation",62-AEO2018.14.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Distributed Generation": Reference case,62-AEO2018.14.ref2018-d121317a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014842,0.024958,0.033442,0.041459,0.052409,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Distributed Generation": Reference case with Clean Power Plan,62-AEO2018.14.ref_cpp-d121317a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011216,0.022662,0.034088,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Distributed Generation": $15 carbon allowance fee,62-AEO2018.14.co2fee15-d022318a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Distributed Generation": $25 carbon allowance fee,62-AEO2018.14.co2fee25-d022318a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Total Capacity,"Electricity: Electric Power Sector: Capacity: Total Capacity",62-AEO2018.15.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Total Capacity": Reference case,62-AEO2018.15.ref2018-d121317a,"GW",34.94735,33.139355,34.27055,36.813152,36.47015,36.806705,36.632008,36.970711,38.57093,37.722298,39.427322,38.490822,38.606178,39.034294,39.376678,39.797203,40.396248,41.554108,42.802483,43.753975,45.086014,45.226204,45.750854,46.214005,46.729996,49.021828,49.608215,50.165169,50.698982,51.263626,51.865967,52.471733,53.077736,53.675804,54.288567,"1.5%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Total Capacity": Reference case with Clean Power Plan,62-AEO2018.15.ref_cpp-d121317a,"GW",34.94735,33.139355,34.27055,36.329975,35.986973,36.652382,37.144882,37.260887,37.302734,37.358711,38.778946,38.062447,37.876701,38.22139,38.552879,40.549461,41.39275,42.219887,42.508461,44.008102,44.404072,47.295414,47.963772,48.425648,48.857285,49.082256,51.161709,51.843918,52.355625,52.92527,53.473045,53.997353,54.541656,55.090797,55.64526,"1.6%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Total Capacity": $15 carbon allowance fee,62-AEO2018.15.co2fee15-d022318a,"GW",34.94735,33.139355,34.27055,36.179554,35.935654,35.494953,36.096035,36.437031,37.091259,38.832947,39.681339,39.195526,39.559181,40.962955,40.820499,41.560188,41.918568,42.809246,43.379173,45.429523,47.575771,49.652519,50.724045,51.956486,53.333984,54.188919,53.672653,55.17984,58.596073,59.265465,59.978088,62.115143,61.377769,61.899624,62.624397,"1.9%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Total Capacity": $25 carbon allowance fee,62-AEO2018.15.co2fee25-d022318a,"GW",34.94735,33.139355,34.27055,36.179554,35.933853,35.533955,35.234604,35.10659,36.486584,39.093105,43.45377,42.735504,43.556122,43.892933,44.757736,46.560791,49.545383,49.795383,50.176453,51.154274,52.22139,53.12104,54.375381,56.225685,58.450745,59.525116,61.315739,61.844227,62.505768,62.755768,62.059067,61.64299,62.076885,62.787701,63.26189,"2.0%"
Cumulative Planned Additions,,62-AEO2018.17.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal",62-AEO2018.18.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": Reference case,62-AEO2018.18.ref2018-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": Reference case with Clean Power Plan,62-AEO2018.18.ref_cpp-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": $15 carbon allowance fee,62-AEO2018.18.co2fee15-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": $25 carbon allowance fee,62-AEO2018.18.co2fee25-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Oil and Natural Gas Steam,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam",62-AEO2018.19.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam": Reference case,62-AEO2018.19.ref2018-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.19.ref_cpp-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.19.co2fee15-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.19.co2fee25-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Combined Cycle,"Electricity: Electric Power Sector: Cumulative Planned Additions: Combined Cycle",62-AEO2018.20.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Cumulative Planned Additions: Combined Cycle": Reference case,62-AEO2018.20.ref2018-d121317a,"GW","- -","- -",1.0521,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,2.6111,"- -"
