"Electric Power Projections by Electricity Market Module Region"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=62-AEO2018&region=3-20&cases=ref2018~ref_cpp~co2fee15~co2fee25&start=2016&end=2050&f=A&linechart=ref2018-d121317a.5-62-AEO2018.3-20~ref_cpp-d121317a.5-62-AEO2018.3-20~co2fee15-d022318a.5-62-AEO2018.3-20~co2fee25-d022318a.5-62-AEO2018.3-20&map=&sourcekey=1"
"Fri Sep 28 2018 10:41:38 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2017-2050)"
Reference case,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": Reference case,62-AEO2018.8.ref2018-d121317a,"GW",10.4907,10.4907,11.003201,11.140901,11.1386,10.969001,8.9704,7.7095,7.6683,7.6683,7.6683,7.6683,7.6683,7.6683,7.6245,7.6245,7.6245,7.6245,7.6245,7.6245,7.6245,7.6245,7.6245,7.6195,7.6195,7.6195,7.6195,7.647106,7.647106,7.647106,7.647106,7.78283,8.487894,9.178985,10.515569,"0.0%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": Reference case with Clean Power Plan,62-AEO2018.8.ref_cpp-d121317a,"GW",10.4907,10.4907,11.003201,11.140901,11.1386,10.969001,9.0104,8.4312,8.389999,8.389999,8.389999,8.389999,8.389999,8.389999,8.389999,8.389999,8.389999,8.389999,8.389999,8.389999,8.389999,8.389999,8.389999,8.384999,8.408705,8.408705,8.408705,8.408705,8.408705,9.394672,10.614067,11.317705,11.353755,11.377,11.542838,"0.3%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": $15 carbon allowance fee,62-AEO2018.8.co2fee15-d022318a,"GW",10.4907,10.4907,11.003201,11.140901,11.1386,10.969001,10.050401,9.9252,9.9252,9.884,9.719,9.605901,9.605901,9.605901,9.5621,9.601811,9.636001,9.636001,9.683942,9.683942,9.722754,9.722754,9.722754,9.717755,9.873607,10.534054,11.435968,11.83741,12.351378,13.130643,13.864353,14.965559,16.487509,16.504597,17.637852,"1.6%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Combustion Turbine/Diesel": $25 carbon allowance fee,62-AEO2018.8.co2fee25-d022318a,"GW",10.4907,10.4907,11.003201,11.140901,11.1386,10.969001,9.335401,9.335401,9.335401,9.294201,9.294201,9.294201,9.294201,9.294201,9.27938,9.27938,9.27938,9.3267,9.3267,9.372127,9.372127,9.423352,9.423352,10.364038,11.203255,11.860893,13.556755,13.771749,14.222668,15.098837,15.88758,16.503962,18.304852,18.90822,19.05394,"1.8%"
Nuclear Power,"Electricity: Electric Power Sector: Capacity: Nuclear",62-AEO2018.9.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Nuclear": Reference case,62-AEO2018.9.ref2018-d121317a,"GW",2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,1.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Nuclear": Reference case with Clean Power Plan,62-AEO2018.9.ref_cpp-d121317a,"GW",2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,1.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Nuclear": $15 carbon allowance fee,62-AEO2018.9.co2fee15-d022318a,"GW",2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,1.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Nuclear": $25 carbon allowance fee,62-AEO2018.9.co2fee25-d022318a,"GW",2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,1.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Pumped Storage,"Electricity: Electric Power Sector: Capacity: Pumped Storage",62-AEO2018.10.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Pumped Storage": Reference case,62-AEO2018.10.ref2018-d121317a,"GW",3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,"0.0%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Pumped Storage": Reference case with Clean Power Plan,62-AEO2018.10.ref_cpp-d121317a,"GW",3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,"0.0%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Pumped Storage": $15 carbon allowance fee,62-AEO2018.10.co2fee15-d022318a,"GW",3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,"0.0%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Pumped Storage": $25 carbon allowance fee,62-AEO2018.10.co2fee25-d022318a,"GW",3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,3.9119,"0.0%"
Diurnal Storage,"Electricity: Electric Power Sector: Capacity: Diurnal Storage",62-AEO2018.11.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": Reference case,62-AEO2018.11.ref2018-d121317a,"GW",0.067,0.1135,0.3635,0.6259,0.8759,0.8759,1.1259,1.3759,1.3759,1.6259,1.8759,2.1259,2.3759,2.6259,2.8759,3.1259,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,3.3759,"10.8%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": Reference case with Clean Power Plan,62-AEO2018.11.ref_cpp-d121317a,"GW",0.067,0.1135,0.3635,0.6259,0.8759,0.8759,1.1259,1.3759,1.3759,1.6259,1.8759,2.1259,2.3759,2.6259,2.8759,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,3.1259,"10.6%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": $15 carbon allowance fee,62-AEO2018.11.co2fee15-d022318a,"GW",0.067,0.1135,0.3635,0.6259,0.8759,0.8759,0.8759,0.8759,0.8759,0.8759,0.8759,1.1259,1.3759,1.6259,1.8759,2.1259,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,2.3759,"9.7%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Diurnal Storage": $25 carbon allowance fee,62-AEO2018.11.co2fee25-d022318a,"GW",0.067,0.1135,0.3635,0.6259,0.8759,0.8759,0.8759,0.8759,0.8759,0.8759,0.8759,1.1259,1.3759,1.6259,1.6259,1.6259,1.6259,1.6259,1.6259,1.6259,1.6259,1.6259,1.8759,2.1259,2.3759,2.6259,2.8759,3.1259,3.3759,3.6259,3.8759,3.8759,4.1259,4.3759,4.3759,"11.7%"
Fuel Cells,"Electricity: Electric Power Sector: Capacity: Fuel Cells",62-AEO2018.12.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Fuel Cells": Reference case,62-AEO2018.12.ref2018-d121317a,"GW",0.0365,0.0379,0.0379,0.0379,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,"-0.1%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Fuel Cells": Reference case with Clean Power Plan,62-AEO2018.12.ref_cpp-d121317a,"GW",0.0365,0.0379,0.0379,0.0379,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,"-0.1%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Fuel Cells": $15 carbon allowance fee,62-AEO2018.12.co2fee15-d022318a,"GW",0.0365,0.0379,0.0379,0.0379,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,"-0.1%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Fuel Cells": $25 carbon allowance fee,62-AEO2018.12.co2fee25-d022318a,"GW",0.0365,0.0379,0.0379,0.0379,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,"-0.1%"
Renewable Sources,"Electricity: Electric Power Sector: Capacity: Renewable Sources",62-AEO2018.13.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Renewable Sources": Reference case,62-AEO2018.13.ref2018-d121317a,"GW",27.247278,28.105227,29.316025,30.41153,35.916458,37.807957,41.325901,41.603439,41.865921,42.075924,42.28244,42.614937,42.899822,43.177032,44.024532,44.832527,45.072182,45.286846,45.513035,45.672039,45.803768,45.926208,46.042694,46.153233,46.263779,46.365776,46.450775,46.590256,46.812443,46.964828,47.824234,48.929741,49.12616,49.239136,49.341133,"1.7%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Renewable Sources": Reference case with Clean Power Plan,62-AEO2018.13.ref_cpp-d121317a,"GW",27.247278,28.105227,29.316025,30.41153,35.779636,38.9431,39.160999,39.438538,39.701298,39.923309,40.135921,40.445892,40.771126,41.084991,42.223022,42.972488,43.786274,44.044632,44.273026,44.45739,44.581009,44.703011,44.819561,44.930466,45.018574,45.120571,45.20557,45.290573,45.512817,45.725731,45.964428,46.082169,46.209904,46.306782,46.367783,"1.5%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Renewable Sources": $15 carbon allowance fee,62-AEO2018.13.co2fee15-d022318a,"GW",27.247278,28.105227,29.316025,30.41153,30.411526,35.087093,38.832794,39.154331,39.398766,39.624214,41.455067,42.67894,43.233547,43.574226,43.907806,44.188171,44.401691,44.629486,46.863194,48.121212,48.79258,49.304367,49.866798,50.992645,51.284473,51.432976,51.529976,51.620918,51.705917,51.937096,52.248322,52.396198,52.528522,52.617599,52.690605,"1.9%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Renewable Sources": $25 carbon allowance fee,62-AEO2018.13.co2fee25-d022318a,"GW",27.247278,28.105227,29.316025,30.41153,30.942848,34.499615,40.714584,41.042221,41.262131,41.854416,42.694168,44.618622,45.258415,47.082134,47.387535,47.707062,47.95462,48.141739,48.806183,49.714401,50.768089,51.472046,51.869446,53.120377,53.450066,54.172249,54.327026,54.548027,54.684013,54.815956,54.938438,55.043129,55.183357,55.288719,55.361717,"2.1%"
Distributed Generation,"Electricity: Electric Power Sector: Capacity: Distributed Generation",62-AEO2018.14.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Distributed Generation": Reference case,62-AEO2018.14.ref2018-d121317a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008074,0.016693,0.026469,0.036273,0.064668,0.094216,0.12318,0.154477,0.184291,0.217474,0.253649,0.291105,0.331878,0.373587,0.413934,0.456102,0.500812,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Distributed Generation": Reference case with Clean Power Plan,62-AEO2018.14.ref_cpp-d121317a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005399,0.012492,0.020144,0.028853,0.037492,0.047326,0.057652,0.084049,0.113514,0.140873,0.171849,0.205294,0.239908,0.278552,0.320463,0.36255,0.407216,0.454985,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Distributed Generation": $15 carbon allowance fee,62-AEO2018.14.co2fee15-d022318a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Distributed Generation": $25 carbon allowance fee,62-AEO2018.14.co2fee25-d022318a,"GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Total Capacity,"Electricity: Electric Power Sector: Capacity: Total Capacity",62-AEO2018.15.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Capacity: Total Capacity": Reference case,62-AEO2018.15.ref2018-d121317a,"GW",75.571419,73.48027,75.706169,75.660965,80.982498,78.783401,80.552742,78.379379,77.769661,74.667664,74.00618,74.588676,75.163803,75.731964,76.820198,77.878189,78.416885,78.675972,78.910233,79.077858,79.21936,79.351601,79.496483,79.631569,79.77108,79.904381,80.019188,80.21946,80.477821,80.667664,81.567841,82.850784,83.79261,84.683563,86.166855,"0.5%"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Capacity: Total Capacity": Reference case with Clean Power Plan,62-AEO2018.15.ref_cpp-d121317a,"GW",75.571419,73.48027,75.706169,75.660965,80.845673,79.918541,78.205841,76.635178,76.091736,73.001747,70.83036,71.390327,71.965561,72.529427,73.917458,74.916924,75.730713,75.994469,76.22995,76.421967,76.554298,76.684937,76.811325,76.927559,77.065773,77.19722,77.309593,77.425568,77.681252,78.914749,80.411484,81.27478,81.480644,81.645439,81.920044,"0.3%"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Total Capacity": $15 carbon allowance fee,62-AEO2018.15.co2fee15-d022318a,"GW",75.571419,73.48027,75.706169,75.660965,75.47757,76.062531,77.650635,77.038872,75.979004,72.091248,71.123108,72.533813,73.388062,73.743736,74.283516,74.853592,75.351303,75.579102,77.860748,79.118767,79.828949,80.340729,80.903168,81.703911,80.410492,80.741379,81.169296,81.661682,82.260643,83.271088,84.316025,85.124046,86.416267,86.52243,87.728691,"0.5%"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Capacity: Total Capacity": $25 carbon allowance fee,62-AEO2018.15.co2fee25-d022318a,"GW",75.571419,73.48027,75.706169,75.660965,76.008888,75.475052,79.666428,78.844055,76.876869,72.989952,72.711708,74.886162,75.775955,77.885742,78.176331,78.175751,77.64901,77.102348,77.766792,78.720436,79.774124,80.529312,80.204712,81.306229,82.725128,83.809952,85.910591,86.596588,86.919495,88.177597,89.338829,90.059898,92.251022,92.444748,92.663467,"0.7%"
Cumulative Planned Additions,,62-AEO2018.17.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal",62-AEO2018.18.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": Reference case,62-AEO2018.18.ref2018-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": Reference case with Clean Power Plan,62-AEO2018.18.ref_cpp-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": $15 carbon allowance fee,62-AEO2018.18.co2fee15-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Coal": $25 carbon allowance fee,62-AEO2018.18.co2fee25-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Oil and Natural Gas Steam,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam",62-AEO2018.19.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam": Reference case,62-AEO2018.19.ref2018-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Reference case with Clean Power Plan,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam": Reference case with Clean Power Plan,62-AEO2018.19.ref_cpp-d121317a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$15 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam": $15 carbon allowance fee,62-AEO2018.19.co2fee15-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
$25 carbon allowance fee,"Electricity: Electric Power Sector: Cumulative Planned Additions: Oil and Natural Gas Steam": $25 carbon allowance fee,62-AEO2018.19.co2fee25-d022318a,"GW","- -","- -",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"- -"
Combined Cycle,"Electricity: Electric Power Sector: Cumulative Planned Additions: Combined Cycle",62-AEO2018.20.,"GW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference case,"Electricity: Electric Power Sector: Cumulative Planned Additions: Combined Cycle": Reference case,62-AEO2018.20.ref2018-d121317a,"GW","- -","- -",1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,1.0966,"- -"
